,City,Cloudiness,Country,Date,Humidity,Lat,Longitude,Max Temp,Wind Speed
0,Panama City,20,PA,1612461518,55,8.9936,-79.5197,90.0,10.36
1,Gemena,97,CD,1612461622,56,3.25,19.7667,79.83,2.75
2,Choix,27,MX,1612461622,19,26.7092,-108.3219,85.62,1.63
3,Ursulo Galván,4,MX,1612461623,64,22.7333,-98.3,78.01,3.0
4,Dvinskoy Bereznik,96,RU,1612461623,97,62.8551,42.7072,15.17,3.85
5,East London,75,ZA,1612461623,83,-33.0153,27.9116,71.6,3.44
6,Hobart,94,AU,1612461623,72,-42.8794,147.3294,66.2,8.05
7,Butaritari,100,KI,1612461624,84,3.0707,172.7902,80.29,14.25
8,Ardakān,0,IR,1612461624,20,32.31,54.0175,53.6,4.61
9,Vaini,75,TO,1612461624,100,-21.2,-175.2,77.0,4.61
10,Mataura,39,NZ,1612461624,93,-46.1927,168.8643,40.48,3.67
11,Cape Town,0,ZA,1612461368,68,-33.9258,18.4232,71.6,18.41
12,Busselton,0,AU,1612461624,66,-33.65,115.3333,55.0,12.19
13,Nikolskoye,20,RU,1612461625,85,59.7035,30.7861,10.4,13.42
14,Sucúa,75,EC,1612461625,83,-2.4667,-78.1667,73.4,2.3
15,Leeton,90,AU,1612461625,78,-34.5667,146.4,72.0,14.97
16,Punta Arenas,0,CL,1612461625,42,-53.15,-70.9167,64.4,35.68
17,Cayenne,90,GF,1612461612,69,4.9333,-52.3333,82.4,16.11
18,Mar del Plata,0,AR,1612461626,53,-38.0023,-57.5575,73.4,18.41
19,Tasiilaq,90,GL,1612461626,86,65.6145,-37.6368,26.6,19.57
20,Husavik,20,IS,1612461626,74,66.0449,-17.3389,24.8,4.61
21,Belaya Gora,98,RU,1612461626,86,68.5333,146.4167,-11.88,12.88
22,Ushuaia,20,AR,1612461626,62,-54.8,-68.3,57.2,40.29
23,Berlevåg,90,NO,1612461369,93,70.8578,29.0864,26.6,35.68
24,Namatanai,100,PG,1612461627,80,-3.6667,152.4333,78.55,2.39
25,Dikson,100,RU,1612461627,91,73.5069,80.5464,-8.72,10.04
26,Coquimbo,20,CL,1612461405,68,-29.9533,-71.3436,66.2,12.66
27,Barsovo,0,RU,1612461627,84,61.1667,73.1667,-7.6,4.47
28,Lebu,1,CL,1612461628,53,-37.6167,-73.65,71.06,5.26
29,Hasaki,20,JP,1612461628,80,35.7333,140.8333,28.4,4.61
30,Ballina,40,AU,1612461628,100,-28.8667,153.5667,64.4,1.34
31,Port Elizabeth,20,ZA,1612461628,78,-33.918,25.5701,71.6,5.75
32,Rikitea,99,PF,1612461629,69,-23.1203,-134.9692,78.26,11.05
33,Narsaq,20,GL,1612461345,45,60.9167,-46.05,19.4,5.46
34,Kuzmolovskiy,81,RU,1612461629,87,60.1098,30.4925,10.99,5.99
35,San Juan,0,AR,1612461629,20,-31.5375,-68.5364,87.58,4.83
36,Along,0,IN,1612461629,62,28.1667,94.7667,53.35,2.19
37,Kifrī,100,IQ,1612461629,37,34.6959,44.9661,62.13,4.56
38,Grand Gaube,1,MU,1612461629,75,-20.0064,57.6608,80.01,5.99
39,New Norfolk,92,AU,1612461630,72,-42.7826,147.0587,66.2,8.05
40,Sur,0,OM,1612461630,73,22.5667,59.5289,66.61,2.55
41,Carnarvon,100,AU,1612461630,85,-24.8667,113.6333,78.98,19.82
42,Portland,90,US,1612461462,81,45.5234,-122.6762,43.0,5.75
43,Alofi,100,NU,1612461630,100,-19.0595,-169.9187,75.2,5.75
44,Evensk,100,RU,1612461630,87,61.95,159.2333,2.35,28.14
45,Moerai,16,PF,1612461630,71,-22.4333,-151.3333,80.98,10.02
46,Kumbo,38,CM,1612461631,28,6.2,10.6667,67.39,3.27
47,Saint Paul Harbor,1,US,1612461631,86,57.79,-152.4072,17.6,6.91
48,Bosaso,17,SO,1612461631,66,11.2842,49.1816,74.26,7.14
49,Qaanaaq,41,GL,1612461631,58,77.484,-69.3632,-21.19,7.02
50,Isangel,66,VU,1612461631,80,-19.55,169.2667,77.83,6.55
51,Pangody,73,RU,1612461631,87,65.85,74.4859,-21.84,7.4
52,Salalah,40,OM,1612461632,69,17.0151,54.0924,75.2,2.3
53,Port Lincoln,0,AU,1612461632,65,-34.7333,135.8667,57.4,21.41
54,Castro,41,BR,1612461623,80,-24.7911,-50.0119,78.04,9.89
55,Thompson,90,CA,1612461632,77,55.7435,-97.8558,-9.4,11.5
56,Wajir,1,KE,1612461632,35,1.7471,40.0573,89.6,9.4
57,Flinders,50,AU,1612461633,88,-34.5833,150.8552,69.01,1.01
58,Dingle,54,PH,1612461633,91,10.9995,122.6711,74.57,8.14
59,Port Hardy,90,CA,1612461633,100,50.6996,-127.4199,39.2,4.61
60,Buala,100,SB,1612461633,82,-8.145,159.5921,78.84,8.05
61,Bluff,34,NZ,1612461633,82,-46.6,168.3333,46.38,7.9
62,Deputatsky,99,RU,1612461633,91,69.3,139.9,-14.73,4.52
63,Quelimane,20,MZ,1612461634,79,-17.8786,36.8883,86.0,6.91
64,Shahreza,27,IR,1612461634,47,32.0339,51.8794,46.78,3.51
65,Jamestown,1,US,1612461634,64,42.097,-79.2353,32.0,3.44
66,Atasū,100,KZ,1612461634,95,48.6814,71.6433,21.63,8.41
67,Saint-Joseph,75,RE,1612461634,65,-21.3667,55.6167,82.4,6.91
68,Grindavik,75,IS,1612461634,87,63.8424,-22.4338,37.4,25.32
69,Kosh-Agach,80,RU,1612461635,90,50.0,88.6667,4.6,1.03
70,Nizhniy Kuranakh,95,RU,1612461635,79,58.8353,125.4869,-26.32,0.78
71,Hamilton,90,US,1612461607,64,39.1834,-84.5333,37.0,4.61
72,Norman Wells,40,CA,1612461635,65,65.282,-126.8329,-50.8,3.44
73,Atuona,39,PF,1612461635,70,-9.8,-139.0333,78.28,10.58
74,Havøysund,90,NO,1612461635,93,70.9963,24.6622,30.2,24.16
75,Alakurtti,8,RU,1612461636,89,66.9672,30.3491,6.01,1.99
76,Kavieng,99,PG,1612461636,73,-2.5744,150.7967,82.8,7.23
77,Vostok,78,RU,1612461636,87,46.4856,135.8833,-21.51,5.73
78,Puerto Ayora,0,EC,1612461636,70,-0.7393,-90.3518,86.0,19.57
79,Sisimiut,0,GL,1612461636,75,66.9395,-53.6735,2.97,12.71
80,Baft,0,IR,1612461637,48,29.234,56.6057,44.33,3.96
81,Bethel,75,US,1612461637,51,41.3712,-73.414,37.0,10.36
82,Muros,79,ES,1612461382,80,42.7762,-9.0603,55.0,1.61
83,Kruisfontein,33,ZA,1612461637,85,-34.0033,24.7314,70.0,3.0
84,Kahului,40,US,1612461637,88,20.8947,-156.47,66.2,5.75
85,Honningsvåg,90,NO,1612461638,93,70.9821,25.9704,30.2,24.16
86,Tuktoyaktuk,20,CA,1612461638,67,69.4541,-133.0374,-38.2,10.36
87,Hilo,90,US,1612461609,82,19.7297,-155.09,66.99,3.44
88,Watsa,23,CD,1612461638,30,3.0372,29.5355,78.01,1.77
89,Port Alfred,57,ZA,1612461638,83,-33.5906,26.891,70.0,9.55
90,Maceió,40,BR,1612461637,62,-9.6658,-35.7353,87.8,16.11
91,Caravelas,0,BR,1612461639,58,-17.7125,-39.2481,84.87,10.71
92,Khatanga,0,RU,1612461639,79,71.9667,102.5,-30.86,8.84
93,Atar,75,MR,1612461639,12,20.5169,-13.0499,85.48,13.6
94,Barrow,40,US,1612461639,68,71.2906,-156.7887,-25.6,8.05
95,Kapaa,75,US,1612461639,82,22.0752,-159.319,60.8,5.75
96,Yellowknife,20,CA,1612461521,68,62.456,-114.3525,-24.0,10.36
97,Cabo San Lucas,20,MX,1612461558,36,22.8909,-109.9124,81.0,3.44
98,Talnakh,97,RU,1612461640,86,69.4865,88.3972,-22.0,1.86
99,Antalaha,54,MG,1612461640,88,-14.9003,50.2788,77.32,4.12
100,Gamba,99,GA,1612461640,84,-2.65,10.0,80.83,6.69
101,Tura,0,IN,1612461640,53,25.5198,90.2201,62.38,4.21
102,Porto-Novo,20,BJ,1612461640,74,6.4965,2.6036,87.8,12.66
103,Sitka,90,US,1612461641,100,57.0531,-135.33,35.6,1.92
104,Rumuruti,14,KE,1612461641,57,0.267,36.5389,62.96,10.49
105,Port-Gentil,40,GA,1612461641,84,-0.7193,8.7815,84.2,9.22
106,Abéché,0,TD,1612461641,18,13.8292,20.8324,77.29,11.43
107,Hobyo,4,SO,1612461641,78,5.3505,48.5268,76.77,18.23
108,Deniliquin,92,AU,1612461642,67,-35.5333,144.9667,73.99,3.0
109,Albany,7,US,1612461642,49,42.6001,-73.9662,36.0,4.0
110,Salmās,75,IR,1612461642,81,38.1973,44.7653,37.4,4.61
111,Constantine,0,DZ,1612461489,29,36.365,6.6147,64.4,9.22
112,Arraial do Cabo,20,BR,1612461642,54,-22.9661,-42.0278,93.2,25.32
113,Kasongo,56,CD,1612461642,93,-4.45,26.6667,72.18,2.68
114,Bilibino,16,RU,1612461643,72,68.0546,166.4372,-20.58,10.67
115,Faanui,11,PF,1612461643,67,-16.4833,-151.75,81.0,4.97
116,Bengkulu,90,ID,1612461643,85,-3.8004,102.2655,75.18,4.68
117,Paciran,95,ID,1612461643,84,-6.8767,112.3761,79.02,15.39
118,Dar es Salaam,20,TZ,1612461643,78,-6.8235,39.2695,82.4,11.5
119,Lompoc,1,US,1612461644,66,34.6391,-120.4579,57.0,7.96
120,Bredasdorp,84,ZA,1612461644,64,-34.5322,20.0403,69.8,10.36
121,Moranbah,29,AU,1612461644,91,-22.0016,148.0466,70.93,7.11
122,Saint-Philippe,75,RE,1612461644,65,-21.3585,55.7679,82.4,6.91
123,Itaboraí,20,BR,1612461644,55,-22.7444,-42.8594,98.6,10.36
124,Longyearbyen,40,SJ,1612461645,62,78.2186,15.6401,17.6,14.97
125,Pestovo,77,RU,1612461645,95,58.5938,35.8024,7.45,5.84
126,Palembang,95,ID,1612461645,92,-2.9167,104.7458,74.62,4.0
127,Airai,100,TL,1612461645,100,-8.9266,125.4092,60.15,3.8
128,Rome,1,US,1612461485,59,43.2128,-75.4557,35.01,8.05
129,Baykit,100,RU,1612461645,88,61.67,96.37,-3.35,2.51
130,San Rafael,31,AR,1612461645,19,-34.6177,-68.3301,83.7,6.78
131,Pangnirtung,90,CA,1612461646,78,66.1451,-65.7125,6.8,24.16
132,Juneau,90,US,1612461646,86,58.3019,-134.4197,28.4,3.42
133,George Town,20,MY,1612461556,69,5.4112,100.3354,77.0,6.78
134,Qaqortoq,20,GL,1612461646,42,60.7167,-46.0333,19.4,4.85
135,Ahipara,4,NZ,1612461646,87,-35.1667,173.1667,59.0,3.89
136,Ribeira Grande,40,PT,1612461646,54,38.5167,-28.7,57.2,5.75
137,Jhanjhārpur,0,IN,1612461646,53,26.2667,86.2833,58.75,2.08
138,Chifeng,0,CN,1612461647,88,42.2683,118.9636,23.61,13.09
139,Chokurdakh,0,RU,1612461647,85,70.6333,147.9167,-7.78,18.25
140,San Cristobal,20,VE,1612461647,31,7.7669,-72.225,95.0,9.22
141,Pitimbu,20,BR,1612461647,55,-7.4706,-34.8086,89.6,12.66
142,Dayong,75,CN,1612461647,77,25.0209,118.2898,59.0,4.47
143,Tuatapere,10,NZ,1612461648,89,-46.1333,167.6833,44.87,4.21
144,Vardø,75,NO,1612461648,68,70.3705,31.1107,26.6,16.11
145,Severo-Kuril'sk,96,RU,1612461648,88,50.6789,156.125,10.15,13.4
146,Mission Bend,56,US,1612461648,73,29.6938,-95.6649,73.99,8.01
147,Alice Springs,93,AU,1612461648,78,-23.7,133.8833,78.8,8.39
148,Ancud,0,CL,1612461648,53,-41.8697,-73.8203,79.0,9.22
149,Beringovskiy,100,RU,1612461648,93,63.05,179.3167,-0.78,18.72
150,Takoradze,13,GH,1612461649,80,4.8845,-1.7554,82.08,10.51
151,Liberia,32,LR,1612461649,82,6.5,-9.5,80.04,6.64
152,Ponta do Sol,92,PT,1612461649,64,32.6667,-17.1,51.01,7.0
153,Tarauacá,65,BR,1612461649,45,-8.1614,-70.7656,95.56,2.39
154,Nizhneudinsk,100,RU,1612461649,91,54.9076,99.0276,11.7,7.25
155,Chippewa Falls,90,US,1612461650,80,44.9369,-91.3929,30.99,9.22
156,Máncora,75,PE,1612461650,54,-4.1078,-81.0475,86.0,14.97
157,Mandalgovi,15,MN,1612461650,85,45.7625,106.2708,15.48,11.05
158,Wellington,90,NZ,1612461633,72,-41.2866,174.7756,57.2,20.71
159,Provideniya,99,RU,1612461650,86,64.3833,-173.3,-11.99,26.6
160,Avera,1,US,1612461650,34,33.194,-82.5271,51.01,4.61
161,Aden,2,YE,1612461449,67,12.7794,45.0367,75.29,11.77
162,Puerto Madero,40,MX,1612461651,70,14.7208,-92.4215,84.2,6.91
163,Andros Town,0,BS,1612461651,42,24.7,-77.7667,68.0,9.22
164,Port Moresby,20,PG,1612461390,94,-9.4431,147.1797,75.2,5.75
