,City,Cloudiness,Country,Date,Humidity,Lat,Longitude,Max Temp,Wind Speed
0,Bengkulu,63,ID,1612535046,83,-3.8004,102.2655,78.8,4.14
1,Ushuaia,40,AR,1612534885,76,-54.8,-68.3,50.0,31.07
2,Rikitea,78,PF,1612535183,74,-23.1203,-134.9692,77.77,14.12
3,Atuona,25,PF,1612535184,80,-9.8,-139.0333,78.51,14.43
4,Saskylakh,100,RU,1612535184,83,71.9167,114.0833,-31.61,5.57
5,Zhigansk,23,RU,1612535184,75,66.7697,123.3711,-40.25,4.27
6,Punta Arenas,20,CL,1612535184,54,-53.15,-70.9167,53.6,28.77
7,Bluff,100,NZ,1612535184,85,-46.6,168.3333,53.51,3.76
8,Pidhorodna,13,UA,1612535184,95,48.107,30.8895,26.31,5.84
9,Vaini,90,TO,1612535185,100,-21.2,-175.2,77.0,2.3
10,Tual,100,ID,1612535185,81,-5.6667,132.75,83.88,20.09
11,Yulara,51,AU,1612535185,33,-25.2406,130.9889,73.4,8.05
12,Mataura,100,NZ,1612535185,94,-46.1927,168.8643,47.5,1.61
13,Belyy Yar,83,RU,1612535185,92,53.6039,91.3903,1.4,2.24
14,Sisimiut,0,GL,1612535185,73,66.9395,-53.6735,10.0,7.67
15,Fare,94,PF,1612535186,67,-16.7,-151.0167,81.01,7.2
16,Salalah,20,OM,1612535186,60,17.0151,54.0924,75.2,6.91
17,Hachinohe,49,JP,1612535186,95,40.5,141.5,30.07,6.82
18,Hobart,90,AU,1612535127,88,-42.8794,147.3294,70.0,16.11
19,Busselton,90,AU,1612535186,68,-33.65,115.3333,61.0,3.0
20,Tuktoyaktuk,40,CA,1612535187,68,69.4541,-133.0374,-29.2,13.8
21,Naze,89,JP,1612534938,72,28.3667,129.4833,60.93,9.73
22,Karlskoga,11,SE,1612535167,73,59.3267,14.5239,21.99,5.75
23,Kuloy,100,RU,1612535187,93,61.0305,42.4925,2.98,9.06
24,Castro,0,BR,1612535187,61,-24.7911,-50.0119,71.33,6.85
25,Constitución,87,CL,1612535187,76,-35.3333,-72.4167,61.38,6.62
26,Katsuura,75,JP,1612535187,57,35.1333,140.3,51.01,11.5
27,Moree,40,AU,1612535188,44,-29.4667,149.85,80.6,12.66
28,Ponta do Sol,68,PT,1612535188,61,32.6667,-17.1,55.99,5.01
29,Talnakh,100,RU,1612535188,85,69.4865,88.3972,-22.05,5.79
30,Pisco,0,PE,1612535188,78,-13.7,-76.2167,73.4,5.75
31,Port Lincoln,100,AU,1612535188,79,-34.7333,135.8667,63.18,22.84
32,Namatanai,100,PG,1612535188,84,-3.6667,152.4333,79.14,7.58
33,Nikolskoye,20,RU,1612535188,78,59.7035,30.7861,9.0,13.42
34,Bambous Virieux,40,MU,1612535189,65,-20.3428,57.7575,84.2,11.5
35,Yellowknife,1,CA,1612534909,67,62.456,-114.3525,-38.2,8.05
36,Butaritari,100,KI,1612535189,82,3.0707,172.7902,80.76,11.56
37,Waingapu,100,ID,1612535189,83,-9.6567,120.2641,79.27,7.36
38,Pemangkat,100,ID,1612535189,90,1.1667,108.9667,76.23,9.17
39,Yangi Marg`ilon,100,UZ,1612535190,57,40.4272,71.7189,44.6,0.13
40,Kulu,0,TR,1612535190,47,39.0951,33.0799,52.45,8.99
41,Gao,0,ML,1612535190,10,16.6362,1.637,92.1,12.71
42,Pokhara,63,NP,1612535190,77,28.2333,83.9833,48.6,2.04
43,Geraldton,75,AU,1612535190,68,-28.7667,114.6,68.0,17.27
44,Cape Town,20,ZA,1612535098,64,-33.9258,18.4232,80.01,27.63
45,Ribeira Grande,20,PT,1612535191,59,38.5167,-28.7,60.8,9.22
46,Albany,100,US,1612535056,60,42.6001,-73.9662,36.0,3.0
47,Jamestown,90,US,1612534936,69,42.097,-79.2353,28.4,14.97
48,Saint Paul Harbor,90,US,1612535191,80,57.79,-152.4072,24.8,4.61
49,Quarteira,40,PT,1612535175,88,37.0695,-8.1006,57.2,11.5
50,Schwedt,100,DE,1612535191,62,53.0596,14.2815,32.0,5.99
51,Nanortalik,0,GL,1612535191,77,60.1432,-45.2371,22.15,2.71
52,Broken Hill,0,AU,1612535191,30,-31.95,141.4333,69.8,12.66
53,Darnah,100,LY,1612534926,64,32.767,22.6367,64.04,14.07
54,Pangkalanbuun,92,ID,1612535026,94,-2.6833,111.6167,75.96,3.65
55,Kapaa,75,US,1612535066,77,22.0752,-159.319,62.01,6.91
56,Praia da Vitória,40,PT,1612535192,58,38.7333,-27.0667,60.01,18.48
57,San Patricio,90,US,1612535192,58,28.017,-97.5169,59.0,18.41
58,Mahébourg,40,MU,1612535192,65,-20.4081,57.7,84.2,11.5
59,Ambovombe,100,MG,1612535193,69,-25.1667,46.0833,81.25,8.12
60,Iqaluit,75,CA,1612535193,79,63.7506,-68.5145,17.6,12.66
61,Hilo,1,US,1612535193,72,19.7297,-155.09,63.0,6.91
62,Libenge,37,CD,1612535194,11,3.65,18.6333,102.87,5.66
63,Pimentel,75,PE,1612535194,78,-6.8367,-79.9342,71.6,10.36
64,Thompson,75,CA,1612535185,76,55.7435,-97.8558,-18.4,5.75
65,Codrington,53,AU,1612535194,81,-38.2667,141.9667,57.27,10.58
66,Sfântu Gheorghe,11,RO,1612535194,68,45.8667,25.7833,50.0,2.33
67,Souillac,40,MU,1612535194,65,-20.5167,57.5167,84.2,11.5
68,Avera,90,US,1612535195,96,33.194,-82.5271,53.6,10.36
69,Takoradze,22,GH,1612535195,75,4.8845,-1.7554,84.83,10.63
70,Airai,100,TL,1612535195,100,-8.9266,125.4092,61.75,2.46
71,Dareda,61,TZ,1612535195,66,-4.2167,35.55,72.9,2.57
72,Lompoc,1,US,1612535195,93,34.6391,-120.4579,46.99,5.53
73,Tautira,15,PF,1612535196,65,-17.7333,-149.15,82.0,1.99
74,Kavieng,100,PG,1612535196,88,-2.5744,150.7967,78.93,13.31
75,Port Alfred,96,ZA,1612535196,87,-33.5906,26.891,72.0,5.99
76,Ginir,83,ET,1612535196,20,7.1333,40.7,76.06,11.05
77,Peterhead,75,GB,1612535196,87,57.5058,-1.7981,37.4,17.27
78,Dubbo,90,AU,1612535196,88,-32.25,148.6167,71.6,13.8
79,Alofi,100,NU,1612535196,88,-19.0595,-169.9187,77.0,8.05
80,Albina,100,SR,1612535197,84,5.5,-54.05,78.1,4.88
81,Carnarvon,90,AU,1612535197,79,-24.8667,113.6333,80.6,19.57
82,Edd,0,ER,1612535197,33,13.9297,41.6925,87.15,25.46
83,Saint-Philippe,0,RE,1612535197,54,-21.3585,55.7679,86.0,4.61
84,Ilulissat,20,GL,1612535197,37,69.2167,-51.1,10.4,16.11
85,Shubarkuduk,99,KZ,1612535197,96,49.1447,56.4872,34.65,14.7
86,Bafra,78,TR,1612535197,62,41.5678,35.9069,53.01,11.99
87,Comodoro Rivadavia,40,AR,1612535198,68,-45.8667,-67.5,66.2,13.8
88,Erzin,0,TR,1612535198,70,36.9559,36.2,64.0,5.01
89,Hervey Bay,6,AU,1612535198,81,-25.2986,152.8535,73.0,1.01
90,Esperance,40,AU,1612535198,94,-33.8667,121.9,57.2,4.61
91,Eureka,1,US,1612535198,100,40.8021,-124.1637,41.0,3.44
92,Tasiilaq,20,GL,1612535199,68,65.6145,-37.6368,19.4,6.91
93,Tessalit,3,ML,1612535199,10,20.1986,1.0114,90.39,9.17
94,Harta,90,HU,1612535199,93,46.6985,19.0305,48.0,6.91
95,Lovozero,100,RU,1612535199,96,68.005,35.0117,16.12,4.85
96,Maniitsoq,4,GL,1612535199,74,65.4167,-52.9,13.24,6.69
97,Birao,0,CF,1612535199,11,10.2849,22.7882,93.96,10.87
98,Cumberland,75,US,1612535200,100,35.0502,-78.8664,45.0,4.61
99,Tezu,0,IN,1612535200,27,27.9167,96.1667,65.21,5.17
100,Vanimo,100,PG,1612535200,82,-2.6741,141.3028,79.79,3.65
101,Katangli,92,RU,1612535200,89,51.7102,143.2326,-8.32,8.84
102,Fairbanks,1,US,1612535200,67,64.8378,-147.7164,-20.0,3.47
103,Yerbogachën,93,RU,1612535200,88,61.2767,108.0108,-15.5,2.46
104,Makakilo City,20,US,1612535069,82,21.3469,-158.0858,62.6,3.44
105,Rio Grande,75,BR,1612535154,68,-32.035,-52.0986,71.6,20.71
106,Adrar,74,MR,1612535201,29,20.5022,-10.0711,75.74,8.32
107,Shirvan,39,AZ,1612535201,42,39.9509,48.8994,62.73,16.82
108,New Norfolk,100,AU,1612535201,84,-42.7826,147.0587,70.0,3.91
109,Port Elizabeth,20,ZA,1612535163,69,-33.918,25.5701,77.0,17.27
110,Aksaray,20,TR,1612535066,41,38.3726,34.0254,55.4,10.36
111,Lata,100,PT,1612535201,82,40.1629,-8.3327,55.99,3.0
112,Mount Gambier,90,AU,1612535201,94,-37.8333,140.7667,55.4,9.22
113,Upernavik,100,GL,1612535202,75,72.7868,-56.1549,3.22,4.18
114,Palmer,90,US,1612535065,80,42.1584,-72.3287,36.0,10.36
